Name,Link,Color,Image,Mileage,Transmission,Price
2020 Porsche 718 Boxster,https://www.porschevancouver.ca/inventory/new/Porsche+718+Boxster+Vancouver+British+Columbia+2020+Guards+Red+42360441,Guards Red		  Standard Interior in Black,/images/thumbnail.php?type=inventory&disablewatermark&width=278&id=42360441,0 km,7-speed Porsche Doppelkupplung (PDK),"$ 89,025.00"
2020 Porsche 911 Carrera 4 Cabriolet (992),https://www.porschevancouver.ca/inventory/new/Porsche+911+Carrera+4+Cabriolet+2899229+Vancouver+British+Columbia+2020+Gentian+Blue+Metallic+32464301,Gentian Blue Metallic		  Standard Interior in Black,https://d2x7jl4z036ayr.cloudfront.net/porsche_pictures/WP0/WP0CA2A9/WP0CA2A99LS251367/87F27020C70C55B763B0AFF02C3427E9.jpg,0 km,,"$ 147,780.00"
2020 Porsche 911 Carrera 4S (992),https://www.porschevancouver.ca/inventory/new/Porsche+911+Carrera+4S+2899229+Vancouver+British+Columbia+2020+Carrara+White+Metallic+30084833,Carrara White Metallic,https://d2x7jl4z036ayr.cloudfront.net/porsche_pictures/WP0/WP0AB2A9/WP0AB2A92LS228128/16829CA65DAECE24FDA75866F552C56D.jpg,0 km,,"$ 166,375.00"
2020 Porsche 911 Carrera 4S (992),https://www.porschevancouver.ca/inventory/new/Porsche+911+Carrera+4S+2899229+Vancouver+British+Columbia+2020+Miami+Blue+30917991,Miami Blue,https://d2x7jl4z036ayr.cloudfront.net/porsche_pictures/WP0/WP0AB2A9/WP0AB2A93LS227991/DD8A2D33E4D1666600163C81A7B56C72.jpg,0 km,,"$ 170,680.00"
2020 Porsche 911 Carrera 4S (992),https://www.porschevancouver.ca/inventory/new/Porsche+911+Carrera+4S+2899229+Vancouver+British+Columbia+2020+Carrara+White+Metallic+33144239,Carrara White Metallic,https://d2x7jl4z036ayr.cloudfront.net/porsche_pictures/WP0/WP0AB2A9/WP0AB2A91LS228640/3B4773CCDDE85BC2021E23878A01ECA8.jpg,0 km,,"$ 169,910.00"
2020 Porsche 911 Carrera 4S (992),https://www.porschevancouver.ca/inventory/new/Porsche+911+Carrera+4S+2899229+Vancouver+British+Columbia+2020+Gentian+Blue+Metallic+33212187,Gentian Blue Metallic		  Standard Interior in Black with Seats in Leather,https://d2x7jl4z036ayr.cloudfront.net/porsche_pictures/WP0/WP0AB2A9/WP0AB2A98LS228666/E40F37CF45D0581F7AF9611E9439587E.jpg,0 km,,"$ 165,230.00"
2020 Porsche 911 Carrera 4S (992),https://www.porschevancouver.ca/inventory/new/Porsche+911+Carrera+4S+2899229+Vancouver+British+Columbia+2020+Carrara+White+Metallic+33212189,Carrara White Metallic,https://d2x7jl4z036ayr.cloudfront.net/porsche_pictures/WP0/WP0AB2A9/WP0AB2A9XLS228667/94446AD8D3AF46292D30349B6938B9DE.jpg,0 km,,"$ 165,000.00"
2020 Porsche 911 Carrera 4S (992),https://www.porschevancouver.ca/inventory/certified/Porsche+911+Carrera+4S+2899229+Vancouver+British+Columbia+2020+Jet+Black+Metallic+37222231,Jet Black Metallic,https://assets1.dealer-sites.com/images/thumbnail.php?type=inventory&id=37222231&imageid=1660663443&num=1&width=200&height=150,4581 km,,"$ 167,995.00"
2020 Porsche 911 Carrera 4S (992),https://www.porschevancouver.ca/inventory/new/Porsche+911+Carrera+4S+2899229+Vancouver+British+Columbia+2020+Dolomite+Silver+Metallic+42730987,Dolomite Silver Metallic		  Standard Interior in Black with Seats in Leather,/images/thumbnail.php?type=inventory&disablewatermark&width=278&id=42730987,0 km,,"$ 169,790.00"
2020 Porsche 911 Carrera 4S Cabriolet (992),https://www.porschevancouver.ca/inventory/new/Porsche+911+Carrera+4S+Cabriolet+2899229+Vancouver+British+Columbia+2020+Carrara+White+Metallic+43332559,Carrara White Metallic		  Leather Interior in Black  Bordeaux Red,/images/thumbnail.php?type=inventory&disablewatermark&width=278&id=43332559,0 km,,"$ 178,140.00"
